Date,Open,High,Low,Close,Adj Close,Volume
2016-11-04,32.400002,33.029999,32.099998,32.340000,28.551281,1198800
2016-11-07,32.400002,33.419998,32.389999,33.240002,29.345844,941600
2016-11-08,33.009998,33.500000,32.889999,33.250000,29.354671,1255500
2016-11-09,32.119999,32.680000,31.700001,32.430000,28.630735,1792900
2016-11-10,32.700001,32.820000,29.709999,30.250000,26.706131,3775900
2016-11-11,29.549999,29.790001,26.690001,27.110001,23.933992,7751200
2016-11-14,27.160000,28.160000,26.270000,27.500000,24.278299,3821900
2016-11-16,27.990000,29.240000,27.459999,29.240000,25.814455,6142300
2016-11-17,29.450001,29.459999,28.330000,28.450001,25.117004,1915600
2016-11-18,28.450001,28.600000,27.760000,28.420000,25.090519,1974500
2016-11-21,28.420000,29.740000,28.410000,29.530001,26.070480,1841900
2016-11-22,30.110001,30.200001,29.030001,30.030001,26.511904,4095800
2016-11-23,29.900000,29.990000,29.240000,29.680000,26.202908,782500
2016-11-24,29.709999,29.860001,29.469999,29.709999,26.229391,302900
2016-11-25,29.100000,29.740000,28.610001,29.639999,26.167591,674000
2016-11-28,29.660000,30.580000,29.379999,30.500000,26.926844,916800
2016-11-29,30.299999,30.660000,29.600000,29.600000,26.132278,1427900
2016-11-30,29.750000,30.610001,29.750000,29.959999,26.450106,2341300
2016-12-01,28.980000,29.290001,28.080000,28.200001,24.896294,2201000
2016-12-02,28.000000,29.150000,27.340000,28.780001,25.408346,2220700
2016-12-05,28.860001,28.990000,27.709999,28.420000,25.090519,1307800
2016-12-06,28.420000,28.700001,27.879999,28.290001,24.975752,1234000
2016-12-07,28.600000,28.660000,27.770000,27.870001,24.604954,2623800
2016-12-08,28.260000,28.510000,27.430000,27.680000,24.437212,1585100
2016-12-09,27.820000,28.230000,27.250000,27.700001,24.454868,1490000
2016-12-12,27.299999,27.879999,27.230000,27.690001,24.446043,2853200
2016-12-13,27.549999,28.309999,27.230000,28.309999,24.993406,1103500
2016-12-14,28.389999,28.430000,27.690001,27.700001,24.454868,1649000
2016-12-15,27.469999,27.760000,27.160000,27.660000,24.419554,1584700
2016-12-16,27.900000,28.469999,27.469999,27.840000,24.578468,2134400
2016-12-19,27.840000,27.840000,26.910000,26.910000,23.757421,1541700
2016-12-20,27.139999,27.330000,26.209999,26.580000,23.466082,1039700
2016-12-21,26.600000,26.600000,26.600000,26.600000,23.483740,1268000
2016-12-22,26.600000,27.350000,26.260000,27.350000,24.145872,908900
2016-12-23,27.430000,27.700001,26.860001,27.430000,24.216501,849600
2016-12-26,27.580000,27.969999,27.120001,27.969999,24.693235,190200
2016-12-27,28.250000,28.250000,27.120001,27.559999,24.331270,702700
2016-12-28,27.350000,28.190001,27.309999,28.059999,24.772696,539100
2016-12-29,28.059999,28.850000,27.730000,28.790001,25.417173,1106500
